,Theme,Company
176,인공호흡기,"['씨유메디칼', '멕아이씨에스']"
177,인터넷은행,"['엑셈', '드림시큐리티', 'NICE평가정보', 'KG모빌리언스', 'GS리테일', 'KG이니시스', '비케이탑스', '미래테크놀로지', '이글루시큐리티']"
178,인테리어,"['한샘', '유안타증권']"
179,일본,"['SK하이닉스', '동진쎄미켐', '후성', '삼성전자', '램테크놀러지']"
180,일자리,['윌비스']
181,임플란트,"['오스테오닉', 'SK바이오랜드', '오스템임플란트', '나이벡', '레이', '덴티움', '바텍', '오스코텍']"
182,자동차부품,"['효성첨단소재', '재영솔루텍', '아진산업', '캐스텍코리아', '인탑스', '세원', '대원산업', '티피씨글로벌', '대동금속', '동아화성', '대동기어', '일지테크', '화천기계', '우수AMS', '유니테크노', '센트랄모텍', '현대공업', '대우부품']"
183,자율주행,"['모바일어플라이언스', '에스모']"
184,자율주행차,"['드림텍', '칩스앤미디어', '모바일어플라이언스', '팅크웨어', '라닉스', '코리아에프티', '대성엘텍', '모트렉스', '로스웰']"
185,자전거,"['빅텍', '엔에스엔', '극동유화', '삼천리자전거', '로보로보']"
186,장마,"['대동공업', '코엔텍', '파루', '조비']"
187,재생에너지,"['씨에스윈드', '현대에너지솔루션', '신성이엔지']"
188,재택근무,"['인트로메딕', '알서포트', '이씨에스', '링네트']"
189,적층세라믹콘덴서,"['아모텍', '코스모신소재', '대주전자재료', '네온테크', '삼성전기']"
190,전기자전거,"['삼성SDI', '만도', '파워로직스', '알톤스포츠', '삼천리자전거']"
191,전기차,"['삼기오토모티브', '성문전자', '유에스티', '센트랄모텍', '우리산업', ‘코스모신소재', '우리산업홀딩스', 'DB하이텍']"
192,전력설비,"['이화전기', '대원전선', '두산중공업', '한전KPS', '현대일렉트릭', '비츠로테크', '피앤씨테크', '광명전기']"
193,전자결제,"['KG모빌리언스', 'KG이니시스', '다날', '인포뱅크', '유안타증권', 'SBI핀테크솔루션즈']"
194,전자서명,"['드림시큐리티', '한국정보인증', '한국전자인증', '한국정보통신']"
195,전자인증,['한국정보인증']
196,전자파,"['제너셈', '한미반도체', '프로텍', '켐트로닉스', '상신전자']"
197,전자화폐,"['다날', '세틀뱅크', 'NHN한국사이버결제', 'SBI핀테크솔루션즈', 'KG이니시스', '신세계', '한국정보통신', '카페24', '코리아센터']"
198,정보보안,"['윈스', '안랩', '이스트소프트', '시큐브', '라온시큐어', '엑셈', '이니텍', '한컴위드', '이글루시큐리티', 'SGA']"
199,제대혈,"['녹십자', '강스템바이오텍', '메디포스트', '세원셀론텍', '녹십자셀', '녹십자랩셀']"
200,제습기,"['위니아딤채', '위닉스', '파세코']"
