,Theme,Company,
142,탄소배출권,"['에코프로', '한솔홈데코', '후성', '휴켐스', '세종공업', '유니슨', '에코바이오', 'KC코트렐', '이건산업']",
143,탄소섬유,"['모나미', '코오롱플라스틱', ‘대상’, ‘디이엔티’]",
144,태블릿PC,"[‘에스맥', '솔루에타', '유티아이', '미래나노텍', '유아이디', '아바텍']",
145,태양광,"[‘SDN', '신성이엔지', '에스에너지', 'OCI']",
146,택배,"['동방', '한익스프레스', '대림제지', '신대양제지', '아세아제지', 'CJ대한통운', '무림페이퍼']",
147,테마파크,"['한국종합기술', '시공테크', '현대건설', '국보디자인', '이월드']",
148,파이프,"['코센', '유에스티', '세아제강', '삼강엠앤티', '동양철관']",
149,페인트,"['노루홀딩스', ‘AK홀딩스’, ‘노루페인트’, ‘삼화페인트’]",
150,펭수,"['유엔젤', '예스24']",
151,편의점,"['이마트', 'BGF리테일', '롯데지주', 'GS리테일']",
152,폐기물처리,"['코엔텍', '와이엔텍', '제넨바이오', '에코마이스터', '인선이엔티']",
153,폭염,['파세코'],
154,폴더블폰,"['파인테크닉스', '세경하이테크', '파인텍', '유티아이', '테이팩스', '디케이티', 'KH바텍', '인터플렉스']",
155,풍력에너지,"['씨에스윈드', '스페코', '현진소재', '우림기계', '씨에스베어링', '유니슨', '한일단조', '태웅', '삼강엠앤티']",
156,프린터,"['맥스로텍', '한국테크놀로지', '휴림로봇', '하이비젼시스템', 'TPC']",
157,한진,"['한진칼', ‘한진’, ‘대한항공’]",
158,항공기부품,"['켄코아에어로스페이스', '하이즈항공', '이엠코리아', '한화에어로스페이스']",
159,해운,"['KSS해운', '팬오션', '흥아해운', '대한해운', 'HMM']",
160,해저터널,"['특수건설', '동아지질', '부산산업', 'KT서브마린', '세명전기']",
161,핵융합에너지,"['비츠로테크', '에스에프에이', '두산중공업', '다원시스', '모비스']",
162,혈장치료,"['시노펙스', '한국유니온제약', '팬젠', '녹십자랩셀', '레몬', '에스맥', '삼성전자', '일신바이오', '바이오톡스텍', '필로시스헬스케어']",
163,홈쇼핑,"['현대홈쇼핑', '롯데쇼핑', 'CJ', '태광산업', '엔에스쇼핑']",
164,화장품,"['넥스트BT', '오가닉티코스메틱', '슈펙스비앤피', '코썬바이오', '현대바이오', 'SK바이오랜드', '프로스테믹스', '애경산업', 'MP한강', '한국화장품', 'LG', '코스메카코리아', '아모레퍼시픽그룹', 'LG생활건강', '한국콜마', '넥스트아이']",
165,화학섬유,"['코오롱머티리얼', '성안', '티케이케미칼', '대한화섬', ‘효성티앤씨’, ‘유비스’, ‘태광산업’]",
166,흑사병,"['보령제약', '삼성제약', '신풍제약', '국제약품', '종근당바이오', '인트론바이오']",
167,희토류,"['유니온머티리얼', ‘혜인', '유니온', '티플랙스', '포스코엠텍', '태경산업']",
